"pmid","doi","authors","year","articletitle","journal","volume","issue","pages","abstract","meshHeadings","chemNames","grantAgency","grantNumber","grantCountry","nctID","ptype"
"39308687","10.7150/jca.98240","Zhang X|Chen H|Wang C|Chen C|Liu L|Nie S|Gao X|Huang N|Chen J","2024","Pan-cancer analysis of the role of α2C-adrenergic receptor (ADRA2C) in human tumors and validation in glioblastoma multiforme models.","J Cancer","15","17","5691-5709","Background: Several studies have reported the relationship between α2C-adrenergic receptor (ADRA2C) and both neoplastic and non-neoplastic diseases. However, a comprehensive pan-cancer analysis is currently lacking. Methods: Utilizing the RNA sequencing (RNA-seq) datasets from The Cancer Genome Atlas (TCGA) database, the roles of ADRA2C in human pan-cancer were analyzed through a variety of bioinformatics approaches, including R programming language and single-cell sequencing data analysis, et al. Besides, cell migration assay and immunochemistry were employed to further validate the role of ADRA2C in glioblastoma multiforme (GBM) cell lines and GBM mouse model. Results: A total of 33 cancer types were involved in this study. It was revealed that the expression level of ADRA2C varied across different clinical stages in patients with breast invasive carcinoma (BRCA), esophageal adenocarcinoma (ESCA), kidney renal papillary cell carcinoma (KIRP) and lung squamous cell carcinoma (LUSC). Meanwhile, it was found that ADRA2C may play roles in prognosis of adrenocortical carcinoma (ACC), glioblastoma multiforme and lower grade glioma (GBM-LGG), and uveal melanoma (UVM). Functional enrichment analysis suggested that ADRA2C expression level was highly correlated with neuronal system-related pathways. Moreover, ADRA2C may be a promising diagnostic marker for cervical squamous cell carcinoma and endocervical adenocarcinoma (CESC), cholangiocarcinoma (CHOL), GBM, GBMLGG, kidney chromophobe (KICH), and KIRP. Additionally, ADRA2C expression level was correlated with the levels of several infiltrating cells and immune checkpoint genes. Besides, the single-cell sequencing data analysis indicated that ADRA2C played a role in multiple tumor development processes in GBM, retinoblastoma (RB), and UVM. Finally, in vitro and in vivo experiments confirmed that the expression level of ADRA2C may be associated with glioma cell migration, apoptosis, and invasion. Conclusion: ADRA2C exhibited to play a notable role in several cancer types, suggesting that ADRA2C could serve as a promising biomarker or target for cancer diagnosis, prognosis, and treatment, particularly for GBM.","NA","NA","NA","NA","NA","NA","Journal Article"
"39268267","10.7759/cureus.66743","Faris IFM|Ibrahim N|Zeanelabdeen TS|Alfaki M","2024","Pan-Cancer Analysis Confirms the Prognostic and Immunological Implications of the 1,25-Dihydroxy Vitamin D3 Receptor in Cervical Squamous Cell Carcinoma.","Cureus","16","8","e66743","Vitamin D receptor (VDR), specifically the 1,25-dihydroxy form, holds significant importance in various types of cancer, including cervical squamous cell carcinoma (CESC), which poses a significant public health challenge. A pan-cancer analysis was conducted on VDR in CESC, with a focus on its expression and relationship with immune infiltration and genetic alterations. Bioinformatics databases, including TIMER, GEPIA, UALCAN, cBioportal, and Kaplan-Meier Plotter, have been utilized. VDR expression in CESC has been validated using publicly available data. Results were significantly upregulated (P=0.05) in THCA, BRCA, KICH, LUAD, LIHC, STAD, UCEC, CESC, CHOL, ESCA, and HNSC samples. We analyzed the correlation between VDR expression and various clinicopathological factors such as age, race, and cancer stage. VDR expression was significantly upregulated across all age groups, with the highest levels observed in older adults followed by young and middle-aged adults. VDR gene expression was significantly elevated across all races, including Caucasians, African-Americans, and Asians, compared to that in the normal group. Furthermore, VDR expression was significantly upregulated in cancer stages 1, 2, 3, and 4, with the highest increase observed in stage 3 compared to that in normal individuals. We analyzed the expression of the VDR in relation to immune cell type and tumor cell purity in CESC. Our results indicated that VDR expression was positively correlated with neutrophils and dendritic cells and negatively correlated with tumor cell purity in CESC patients. There was no significant correlation between VDR expression and the abundance of B cells, CD8+ T cells, CD4+ T cells, and macrophages. Our study found no significant effect of VDR expression on patient prognosis, although it was positively correlated with CD4+ T cells. The Cox proportional hazards model indicated that age and immune cells did not significantly affect prognosis. Most VDR mutations are concentrated in diffuse large B-cell lymphoma, with an amplification frequency of 4% and a deep deletion frequency of 2.2%. GEO confirmed VDR expression in CESC, identifying 1515 upregulated and 1877 downregulated genes, with volcano plots showing CESC downregulation in patients.","NA","NA","NA","NA","NA","NA","Journal Article"
"39154046","10.1038/s41598-024-70223-x","Chen Y|Wu Z|Yi X","2024","Elucidating the pan-oncologic landscape of S100A9: prognostic and therapeutic corollaries from an integrative bioinformatics and Mendelian randomization analysis.","Sci Rep","14","1","19071","The calcium-binding protein S100A9 has emerged as a pivotal biomolecular actor in oncology, implicated in numerous malignancies. This comprehensive bioinformatics study transcends traditional boundaries, investigating the prognostic and therapeutic potential of S100A9 across diverse neoplastic entities. Leveraging a wide array of bioinformatics tools and publicly available cancer genomics databases, such as TCGA, we systematically examined the S100A9 gene. Our approach included differential expression analysis, mutational burden assessment, protein interaction networks, and survival analysis. This robust computational framework provided a high-resolution view of S100A9's role in cancer biology. The study meticulously explored S100A9's oncogenic facets, incorporating comprehensive analyses of its relationship with prognosis, tumor mutational burden (TMB), microsatellite instability (MSI), DNA methylation, and immune cell infiltration across various tumor types. This study presents a panoramic view of S100A9 expression across a spectrum of human cancers, revealing a heterogeneous expression landscape. Elevated S100A9 expression was detected in malignancies such as BLCA (Bladder Urothelial Carcinoma), CESC (Cervical squamous cell carcinoma and endocervical adenocarcinoma), COAD (Colon adenocarcinoma), ESCA (Esophageal carcinoma), and GBM (Glioblastoma multiforme), while reduced expression was noted in BRCA (Breast invasive carcinoma), HNSC (Head and Neck squamous cell carcinoma), and KICH (Kidney Chromophobe). This disparate expression pattern suggests that S100A9's role in cancer biology is multifaceted and context-dependent. Prognostically, S100A9 expression correlates variably with patient outcomes across different cancer types. Furthermore, its expression is intricately associated with TMB and MSI in nine cancer types. Detailed examination of six selected tumors-BRCA, CESC, KIRC (Kidney renal clear cell carcinoma), LUSC (Lung squamous cell carcinoma), SKCM (Skin Cutaneous Melanoma); STAD (Stomach adenocarcinoma)-revealed a negative correlation of S100A9 expression with the infiltration of most immune cells, but a positive correlation with neutrophils, M1 macrophages, and activated NK cells, highlighting the complex interplay between S100A9 and the tumor immune environment. This bioinformatics synthesis posits S100A9 as a significant player in cancer progression, offering valuable prognostic insights. The data underscore the utility of S100A9 as a prognostic biomarker and its potential as a therapeutic target. The therapeutic implications are profound, suggesting that modulation of S100A9 activity could significantly impact cancer management strategies.","Humans|Calgranulin B|Computational Biology|Neoplasms|Prognosis|Gene Expression Regulation, Neoplastic|Biomarkers, Tumor|DNA Methylation|Microsatellite Instability|Mutation|Protein Interaction Maps","Calgranulin B|S100A9 protein, human|Biomarkers, Tumor","2022 State Administration of Traditional Chinese Medicine","B2024049","","NA","Journal Article"
"39131609","10.7717/peerj.17842","Shang X|Wang H|Gu J|Zhao X|Zhang J|Sun B|Zhu X","2024","Ferroptosis-related gene transferrin receptor protein 1 expression correlates with the prognosis and tumor immune microenvironment in cervical cancer.","PeerJ","12",NA,"e17842","Ferroptosis is a non-apoptotic iron-dependent form of cell death implicated in various cancer pathologies. However, its precise role in tumor growth and progression of cervical cancer (CC) remains unclear. Transferrin receptor protein 1 (TFRC), a key molecule associated with ferroptosis, has been identified as influencing a broad range of pathological processes in different cancers. However, the prognostic significance of TFRC in CC remains unclear. The present study utilized bioinformatics to explore the significance of the ferroptosis-related gene TFRC in the progression and prognosis of CC.|We obtained RNA sequencing data and corresponding clinical information on patients with CC from The Cancer Genome Atlas (TCGA), Genotype Tissue Expression (GTEx) and Gene Expression Omnibus (GEO) databases. Using least absolute shrinkage and selection operator (LASSO) Cox regression, we then generated a multigene signature of five ferroptosis-related genes (FRGs) for the prognostic prediction of CC. We investigated the relationship between TFRC gene expression and immune cell infiltration by employing single-sample GSEA (ssGSEA) analysis. The potential functional role of the TFRC gene was evaluated through gene set enrichment analysis (GSEA). Immunohistochemistry and qPCR was employed to assess TFRC mRNA and protein expression in 33 cases of cervical cancer. Furthermore, the relationship between TFRC mRNA expression and overall survival (OS) was investigated in patients.|CC samples had significantly higher TFRC gene expression levels than normal tissue samples. Higher TFRC gene expression levels were strongly associated with higher cancer T stages and OS events. The findings of multivariate analyses illustrated that the OS in CC patients with high TFRC expression is shorter than in patients with low TFRC expression. Significant increases were observed in the levels of TFRC mRNA and protein expression in patients diagnosed with CC.|Increased TFRC expression in CC was associated with disease progression, an unfavorable prognosis, and dysregulated immune cell infiltration. In addition, it highlights ferroptosis as a promising therapeutic target for CC.","Humans|Female|Ferroptosis|Receptors, Transferrin|Uterine Cervical Neoplasms|Tumor Microenvironment|Prognosis|Gene Expression Regulation, Neoplastic|Antigens, CD|Middle Aged|Biomarkers, Tumor","Receptors, Transferrin|CD71 antigen|Antigens, CD|Biomarkers, Tumor","NA","NA","NA","NA","Journal Article"
"38963237","10.1080/01443615.2024.2373951","Liao W|Liu T|Li Y|Liang H|Deng J|Shen F","2024","The bioinfomatics analysis of the M1 macrophage-related gene CXCL9 signature in cervical cancer.","J Obstet Gynaecol","44","1","2373951","The expression and function of coexpression genes of M1 macrophage in cervical cancer have not been identified. And the CXCL9-expressing tumour-associated macrophage has been poorly reported in cervical cancer.|To clarify the regulatory gene network of M1 macrophage in cervical cancer, we downloaded gene expression profiles of cervical cancer patients in TCGA database to identify M1 macrophage coexpression genes. Then we constructed the protein-protein interaction networks by STRING database and performed functional enrichment analysis to investigate the biological effects of the coexpression genes. Next, we used multiple bioinformatics databases and experiments to overall investigate coexpression gene CXCL9, including western blot assay and immunohistochemistry assay, GeneMANIA, Kaplan-Meier Plotter, Xenashiny, TISCH2, ACLBI, HPA, TISIDB, GSCA and cBioPortal databases.|There were 77 positive coexpression genes and 5 negative coexpression genes in M1 macrophage. The coexpression genes in M1 macrophage participated in the production and function of chemokines and chemokine receptors. Especially, CXCL9 was positively correlated with M1 macrophage infiltration levels in cervical cancer. CXCL9 expression would significantly decrease and high CXCL9 levels were linked to good prognosis in the cervical cancer tumour patients, it manifestly expressed in blood immune cells, and was positively related to immune checkpoints. CXCL9 amplification was the most common type of mutation. The CXCL9 gene interaction network could regulate immune-related signalling pathways, and CXCL9 amplification was the most common mutation type in cervical cancer. Meanwhile, CXCL9 may had clinical significance for the drug response in cervical cancer, possibly mediating resistance to chemotherapy and targeted drug therapy.|Our findings may provide new insight into the M1 macrophage coexpression gene network and molecular mechanisms in cervical cancer, and indicated that M1 macrophage association gene CXCL9 may serve as a good prognostic gene and a potential therapeutic target for cervical cancer therapies.","Uterine Cervical Neoplasms|Humans|Female|Chemokine CXCL9|Gene Expression Regulation, Neoplastic|Macrophages|Prognosis|Gene Regulatory Networks|Protein Interaction Maps|Computational Biology|Tumor-Associated Macrophages|Gene Expression Profiling|Databases, Genetic","Chemokine CXCL9|CXCL9 protein, human","NA","NA","NA","NA","Journal Article"
"38949075","10.1002/jgm.3713","Khokhar M|Kartha P|Hassan S|Pandey RK","2024","Decoding dysregulated genes, molecular pathways and microRNAs involved in cervical cancer.","J Gene Med","26","7","e3713","The present study aimed to identify dysregulated genes, molecular pathways, and regulatory mechanisms in human papillomavirus (HPV)-associated cervical cancers. We have investigated the disease-associated genes along with the Gene Ontology, survival prognosis, transcription factors and the microRNA (miRNA) that are involved in cervical carcinogenesis, enabling a deeper comprehension of cervical cancer linked to HPV.|We used 10 publicly accessible Gene Expression Omnibus (GEO) datasets to examine the patterns of gene expression in cervical cancer. Differentially expressed genes (DEGs), which showed a clear distinction between cervical cancer and healthy tissue samples, were analyzed using the GEO2R tool. Additional bioinformatic techniques were used to carry out pathway analysis and functional enrichment, as well as to analyze the connection between altered gene expression and HPV infection.|In total, 48 DEGs were identified to be differentially expressed in cervical cancer tissues in comparison to healthy tissues. Among DEGs, CCND1, CCNA2 and SPP1 were the key dysregulated genes involved in HPV-associated cervical cancer. The five common miRNAs that were identified against these genes are miR-7-5p, miR-16-5p, miR-124-3p, miR-10b-5p and miR-27a-3p. The hub-DEGs targeted by miRNA hsa-miR-27a-3p are controlled by the common transcription factor SP1.|The present study has identified DEGs involved in HPV-associated cervical cancer progression and the various molecular pathways and transcription factors regulating them. These findings have led to a better understanding of cervical cancer resulting in the development and identification of possible therapeutic and intervention targets, respectively.","Uterine Cervical Neoplasms|Humans|MicroRNAs|Female|Gene Expression Regulation, Neoplastic|Computational Biology|Gene Expression Profiling|Gene Regulatory Networks|Papillomavirus Infections|Gene Ontology|Biomarkers, Tumor|Prognosis|Databases, Genetic|Signal Transduction","MicroRNAs|Biomarkers, Tumor","NA","NA","NA","NA","Journal Article"
"38863714","10.3389/fimmu.2024.1351908","Liu L|Yin P|Yang R|Zhang G|Wu C|Zheng Y|Wu S|Liu M","2024","Integrated bioinformatics combined with machine learning to analyze shared biomarkers and pathways in psoriasis and cervical squamous cell carcinoma.","Front Immunol","15",NA,"1351908","Psoriasis extends beyond its dermatological inflammatory manifestations, encompassing systemic inflammation. Existing studies have indicated a potential risk of cervical cancer among patients with psoriasis, suggesting a potential mechanism of co-morbidity. This study aims to explore the key genes, pathways, and immune cells that may link psoriasis and cervical squamous cell carcinoma (CESC).|The cervical squamous cell carcinoma dataset (GSE63514) was downloaded from the Gene Expression Omnibus (GEO). Two psoriasis-related datasets (GSE13355 and GSE14905) were merged into one comprehensive dataset after removing batch effects. Differentially expressed genes were identified using Limma and co-expression network analysis (WGCNA), and machine learning random forest algorithm (RF) was used to screen the hub genes. We analyzed relevant gene enrichment pathways using GO and KEGG, and immune cell infiltration in psoriasis and CESC samples using CIBERSORT. The miRNA-mRNA and TFs-mRNA regulatory networks were then constructed using Cytoscape, and the biomarkers for psoriasis and CESC were determined. Potential drug targets were obtained from the cMAP database, and biomarker expression levels in hela and psoriatic cell models were quantified by RT-qPCR.|In this study, we identified 27 key genes associated with psoriasis and cervical squamous cell carcinoma. NCAPH, UHRF1, CDCA2, CENPN and MELK were identified as hub genes using the Random Forest machine learning algorithm. Chromosome mitotic region segregation, nucleotide binding and DNA methylation are the major enrichment pathways for common DEGs in the mitotic cell cycle. Then we analyzed immune cell infiltration in psoriasis and cervical squamous cell carcinoma samples using CIBERSORT. Meanwhile, we used the cMAP database to identify ten small molecule compounds that interact with the central gene as drug candidates for treatment. By analyzing miRNA-mRNA and TFs-mRNA regulatory networks, we identified three miRNAs and nine transcription factors closely associated with five key genes and validated their expression in external validation datasets and clinical samples. Finally, we examined the diagnostic effects with ROC curves, and performed experimental validation in hela and psoriatic cell models.|We identified five biomarkers, NCAPH, UHRF1, CDCA2, CENPN, and MELK, which may play important roles in the common pathogenesis of psoriasis and cervical squamous cell carcinoma, furthermore predict potential therapeutic agents. These findings open up new perspectives for the diagnosis and treatment of psoriasis and squamous cell carcinoma of the cervix.","Humans|Psoriasis|Uterine Cervical Neoplasms|Female|Computational Biology|Machine Learning|Gene Regulatory Networks|Carcinoma, Squamous Cell|Biomarkers, Tumor|MicroRNAs|Gene Expression Profiling|Gene Expression Regulation, Neoplastic|Databases, Genetic|Protein Interaction Maps|Transcriptome|HeLa Cells|Signal Transduction","Biomarkers, Tumor|MicroRNAs","NA","NA","NA","NA","Journal Article"
"38850798","10.1016/j.tranon.2024.102001","Gui Z|Ye Y|Li Y|Ren Z|Wei N|Liu L|Wang H|Zhang M","2024","Construction of a novel cancer-associated fibroblast-related signature to predict clinical outcome and immune response in cervical cancer.","Transl Oncol","46",NA,"102001","This study developed a prognostic signature for cervical cancer using transcriptome profiling and clinical data from The Cancer Genome Atlas (TCGA), Gene Expression Omnibus (GEO), and TISCH database, focusing on cancer-associated fibroblasts (CAFs). Through LASSO Cox regression and integrated bioinformatics analyses, we identified 144 differentially expressed genes (DEGs) related to CAFs, from which an 11-gene CAF-related signature (CAFRSig) was constructed. The CAFRSig effectively stratified patients into high- and low-risk categories, demonstrating significant prognostic capability in predicting overall survival. Gene ontology (GO) and gene set variation analysis (GSVA) linked the DEGs to crucial pathways in tumor malignancy, immune response, and fatty acid metabolism. The immune landscape analysis, utilizing the TIMER platform and CIBERSORT algorithm, revealed a positive correlation between immune cell effector functions and CAFRSig scores, highlighting the model's potential to identify patients likely to respond to immune checkpoint blockade (ICB) therapies. Furthermore, neuropilin 1 (NRP1), a key gene in the CAFRSig, was upregulated in cervical cancer tissues and associated with disease progression and differentiation. The downregulation of NRP1 curbed cell proliferation and influenced the epithelial-mesenchymal transition (EMT), implicating the PI3K/AKT pathway and modulating PD-L1 expression. This comprehensive analysis establishes a robust prognostic signature based on CAF-related genes, offering valuable insights for optimizing therapeutic strategies in cervical cancer management.","NA","NA","NA","NA","NA","NA","Journal Article"
"38800011","10.22038/IJBMS.2024.74431.16168","Li S|Gao K|Yao D","2024","Comprehensive analysis of autophagy associated genes and immune infiltrates in cervical cancer.","Iran J Basic Med Sci","27","7","813-824","Cervical cancer (CC) is the most common gynecological malignant tumor and the fourth leading cause of cancer-related death in women. The progression of CC is significantly affected by autophagy. Our objective was to use bioinformatics analysis to explore the expression, prognostic significance, and immune infiltration of autophagy-related genes in CC.|We identified a set of autophagy-related differentially expressed genes (ARDEGs) from The Cancer Genome Atlas (TCGA) and Gene Expression Omnibus (GEO) databases. ARDEGs were further validated by The Human Protein Atlas (HPA), GSE52903, and GSE39001 dataset. Hub genes were found by the STRING network and Cytoscape. We performed Gene Set Enrichment Analysis (GSEA), Gene ontology analysis (GO), Kyoto Encyclopedia of Genes and Genomes (KEGG) analysis, and immune infiltration analysis to further understand the functions of the hub genes. Kaplan-Meier (K-M) and receiver operating characteristic (ROC) were used to check the hub genes.|A total of 10 up-regulated (CXCR4, BAX, SPHK1, EIF2AK2, TBK1, TNFSF10, ITGB4, CDKN2A, IL24, and BIRC5) and 19 down-regulated (PINK1, ATG16L2, ATG4D, IKBKE, MLST8, MAPK3, ERBB2, ULK3, TP53INP2, MTMR14, BNIP3, FOS, CCL2, FAS, CAPNS1, HSPB8, PTK6, FKBP1B , and DNAJB1) ARDEGs were identified. The ARDEGs were enriched in cell growth, apoptosis, human papillomavirus infection, and cytokine-mediated. Then, we found that low expression of MAPK3 was associated with poor prognosis in CC patients and was significantly enriched in immune pathways. In addition, the expression of MAPK3 was significantly positively correlated with the infiltration levels of macrophages, B cells, mast cell activation, and cancer-associated fibroblasts. Furthermore, MAPK3 was positively correlated with LGALS9, and negatively correlated with CTLA4 and CD40.|Our results show that MAPK3 can be used as a new prognostic biomarker to predict the prognosis of patients with CC.","NA","NA","NA","NA","NA","NA","Journal Article"
"38532933","10.3389/fonc.2024.1351736","Zhao W|Li Q|Wen S|Li Y|Bai Y|Tian Z","2024","Novel biomarkers of inflammation-associated immunity in cervical cancer.","Front Oncol","14",NA,"1351736","Cervical cancer (CC) is a highly malignant gynecological cancer with a direct causal link to inflammation, primarily resulting from persistent high-risk human papillomavirus (HPV) infection. Given the challenges in early detection and mid to late-stage treatment, our research aims to identify inflammation-associated immune biomarkers in CC.|Using a bioinformatics approach combined with experimental validation, we integrated two CC datasets (GSE39001 and GSE63514) in the Gene Expression Omnibus (GEO) to eliminate batch effects. Immune-related inflammation differentially expressed genes (DGEs) were obtained by R language identification.|This analysis identified 37 inflammation-related DEGs. Subsequently, we discussed the different levels of immune infiltration between CC cases and controls. Weighted gene co-expression network analysis (WGCNA) identified seven immune infiltration-related modules in CC. We identified 15 immune DEGs associated with inflammation at the intersection of these findings. In addition, we constructed a protein interaction network using the String database and screened five hub genes using ""CytoHubba"": CXC chemokine ligand 8 (CXCL8), CXC chemokine ligand 10 (CXCL10), CX3C chemokine receptor 1 (CX3CR1), Fc gamma receptors 3B (FCGR3B), and SELL. The expression of these five genes in CC was determined by PCR experiments. In addition, we assessed their diagnostic value and further analyzed the association of immune cells with them.|Five inflammation- and immune-related genes were identified, aiming to provide new directions for early diagnosis and mid to late-stage treatment of CC from multiple perspectives.","NA","NA","NA","NA","NA","NA","Journal Article"
